characterName,listFile,analysisFile
cinna,Books/The_Hunger_Games_Catching_Fire/character_3_list_cleaned.txt,
prim everdeen,Books/The_Hunger_Games_Catching_Fire/character_16_list_cleaned.txt,
haymitch abernathy,Books/The_Hunger_Games_Catching_Fire/character_2_list_cleaned.txt,Books/The_Hunger_Games_Catching_Fire/character_2_analysis_cleaned.txt
katniss's mother,Books/The_Hunger_Games_Catching_Fire/character_17_list_cleaned.txt,
katniss everdeen,Books/The_Hunger_Games_Catching_Fire/character_0_list_cleaned.txt,Books/The_Hunger_Games_Catching_Fire/character_0_analysis_cleaned.txt
plutarch heavensbee,Books/The_Hunger_Games_Catching_Fire/character_18_list_cleaned.txt,
enobaria,Books/The_Hunger_Games_Catching_Fire/character_15_list_cleaned.txt,
peeta mellark,Books/The_Hunger_Games_Catching_Fire/character_1_list_cleaned.txt,Books/The_Hunger_Games_Catching_Fire/character_1_analysis_cleaned.txt
mags,Books/The_Hunger_Games_Catching_Fire/character_8_list_cleaned.txt,
"flavius, octavia, and venia",Books/The_Hunger_Games_Catching_Fire/character_24_list_cleaned.txt,
rue,Books/The_Hunger_Games_Catching_Fire/character_22_list_cleaned.txt,
darius,Books/The_Hunger_Games_Catching_Fire/character_20_list_cleaned.txt,
effie trinket,Books/The_Hunger_Games_Catching_Fire/character_4_list_cleaned.txt,
seeder,Books/The_Hunger_Games_Catching_Fire/character_13_list_cleaned.txt,
johanna mason,Books/The_Hunger_Games_Catching_Fire/character_9_list_cleaned.txt,
brutus,Books/The_Hunger_Games_Catching_Fire/character_14_list_cleaned.txt,
chaff,Books/The_Hunger_Games_Catching_Fire/character_12_list_cleaned.txt,
maysilee donner,Books/The_Hunger_Games_Catching_Fire/character_25_list_cleaned.txt,
hazelle hawthorne,Books/The_Hunger_Games_Catching_Fire/character_19_list_cleaned.txt,
wiress,Books/The_Hunger_Games_Catching_Fire/character_11_list_cleaned.txt,
finnick odair,Books/The_Hunger_Games_Catching_Fire/character_7_list_cleaned.txt,Books/The_Hunger_Games_Catching_Fire/character_7_analysis_cleaned.txt
madge undersee,Books/The_Hunger_Games_Catching_Fire/character_23_list_cleaned.txt,
president snow,Books/The_Hunger_Games_Catching_Fire/character_6_list_cleaned.txt,
romulus thread,Books/The_Hunger_Games_Catching_Fire/character_21_list_cleaned.txt,
beetee,Books/The_Hunger_Games_Catching_Fire/character_10_list_cleaned.txt,
gale hawthorne,Books/The_Hunger_Games_Catching_Fire/character_5_list_cleaned.txt,
